componentindex,.y.,p,p.adj,p.format,p.signif,method,p.adj.signif
5,log10_dpeak,0.0102917648316229,0.6,0.0103,*,Kruskal-Wallis,ns
116,log10_dpeak,0.945258077045868,1,0.9453,ns,Kruskal-Wallis,ns
50,log10_dpeak,0.122463043049915,1,0.1225,ns,Kruskal-Wallis,ns
39,log10_dpeak,0.164733405449347,1,0.1647,ns,Kruskal-Wallis,ns
15,log10_dpeak,0.00980465725493667,0.58,0.0098,**,Kruskal-Wallis,ns
1,log10_dpeak,9.39886595629728e-07,5.8e-05,9.4e-07,****,Kruskal-Wallis,****
4,log10_dpeak,0.104445537571876,1,0.1044,ns,Kruskal-Wallis,ns
42,log10_dpeak,0.930921976259336,1,0.9309,ns,Kruskal-Wallis,ns
68,log10_dpeak,0.276202295584062,1,0.2762,ns,Kruskal-Wallis,ns
14,log10_dpeak,0.780402587463397,1,0.7804,ns,Kruskal-Wallis,ns
6,log10_dpeak,0.00122976969637407,0.075,0.0012,**,Kruskal-Wallis,ns
22,log10_dpeak,0.282164390590101,1,0.2822,ns,Kruskal-Wallis,ns
77,log10_dpeak,0.619568771790648,1,0.6196,ns,Kruskal-Wallis,ns
19,log10_dpeak,0.234762717594312,1,0.2348,ns,Kruskal-Wallis,ns
63,log10_dpeak,0.209160124920515,1,0.2092,ns,Kruskal-Wallis,ns
2,log10_dpeak,0.00282760704218316,0.17,0.0028,**,Kruskal-Wallis,ns
27,log10_dpeak,0.214157376192359,1,0.2142,ns,Kruskal-Wallis,ns
56,log10_dpeak,0.138267619650267,1,0.1383,ns,Kruskal-Wallis,ns
57,log10_dpeak,0.0419385610609488,1,0.0419,*,Kruskal-Wallis,ns
17,log10_dpeak,0.269759488624658,1,0.2698,ns,Kruskal-Wallis,ns
38,log10_dpeak,0.81164941034059,1,0.8116,ns,Kruskal-Wallis,ns
115,log10_dpeak,0.543135645461798,1,0.5431,ns,Kruskal-Wallis,ns
29,log10_dpeak,0.0482224296540604,1,0.0482,*,Kruskal-Wallis,ns
3,log10_dpeak,0.368498480371218,1,0.3685,ns,Kruskal-Wallis,ns
35,log10_dpeak,0.153401301538712,1,0.1534,ns,Kruskal-Wallis,ns
54,log10_dpeak,0.547338561393172,1,0.5473,ns,Kruskal-Wallis,ns
59,log10_dpeak,0.177372356230949,1,0.1774,ns,Kruskal-Wallis,ns
25,log10_dpeak,0.219010823913761,1,0.2190,ns,Kruskal-Wallis,ns
12,log10_dpeak,6.17575320368775e-17,4e-15,< 2e-16,****,Kruskal-Wallis,****
8,log10_dpeak,8.12048813205733e-09,5.1e-07,8.1e-09,****,Kruskal-Wallis,****
41,log10_dpeak,0.101261041849324,1,0.1013,ns,Kruskal-Wallis,ns
107,log10_dpeak,0.0782461084736563,1,0.0782,ns,Kruskal-Wallis,ns
32,log10_dpeak,0.0338213006408494,1,0.0338,*,Kruskal-Wallis,ns
79,log10_dpeak,0.0159683642410234,0.91,0.0160,*,Kruskal-Wallis,ns
78,log10_dpeak,0.528002201001047,1,0.5280,ns,Kruskal-Wallis,ns
53,log10_dpeak,0.794496180446824,1,0.7945,ns,Kruskal-Wallis,ns
11,log10_dpeak,0.837826059930192,1,0.8378,ns,Kruskal-Wallis,ns
75,log10_dpeak,0.0926855673896131,1,0.0927,ns,Kruskal-Wallis,ns
89,log10_dpeak,0.588965085437311,1,0.5890,ns,Kruskal-Wallis,ns
18,log10_dpeak,0.551065936666973,1,0.5511,ns,Kruskal-Wallis,ns
20,log10_dpeak,0.698223569228552,1,0.6982,ns,Kruskal-Wallis,ns
21,log10_dpeak,0.0269255410106834,1,0.0269,*,Kruskal-Wallis,ns
71,log10_dpeak,0.711551141305301,1,0.7116,ns,Kruskal-Wallis,ns
16,log10_dpeak,0.387082091437418,1,0.3871,ns,Kruskal-Wallis,ns
66,log10_dpeak,0.714858321236717,1,0.7149,ns,Kruskal-Wallis,ns
76,log10_dpeak,0.0641848828867913,1,0.0642,ns,Kruskal-Wallis,ns
88,log10_dpeak,0.101624219125457,1,0.1016,ns,Kruskal-Wallis,ns
7,log10_dpeak,0.49483205372399,1,0.4948,ns,Kruskal-Wallis,ns
61,log10_dpeak,0.364424951064646,1,0.3644,ns,Kruskal-Wallis,ns
49,log10_dpeak,0.250271559804268,1,0.2503,ns,Kruskal-Wallis,ns
85,log10_dpeak,0.757422537088344,1,0.7574,ns,Kruskal-Wallis,ns
47,log10_dpeak,0.045142153005636,1,0.0451,*,Kruskal-Wallis,ns
112,log10_dpeak,0.904796364637995,1,0.9048,ns,Kruskal-Wallis,ns
51,log10_dpeak,0.0251260770542424,1,0.0251,*,Kruskal-Wallis,ns
9,log10_dpeak,0.22522085061902,1,0.2252,ns,Kruskal-Wallis,ns
94,log10_dpeak,0.0204697199610108,1,0.0205,*,Kruskal-Wallis,ns
31,log10_dpeak,0.200351524604482,1,0.2004,ns,Kruskal-Wallis,ns
13,log10_dpeak,0.127342708194572,1,0.1273,ns,Kruskal-Wallis,ns
10,log10_dpeak,0.866314035996883,1,0.8663,ns,Kruskal-Wallis,ns
23,log10_dpeak,0.0199962662277167,1,0.0200,*,Kruskal-Wallis,ns
99,log10_dpeak,0.0580294573931042,1,0.0580,ns,Kruskal-Wallis,ns
87,log10_dpeak,0.432507413021026,1,0.4325,ns,Kruskal-Wallis,ns
58,log10_dpeak,0.18447772340211,1,0.1845,ns,Kruskal-Wallis,ns
74,log10_dpeak,0.659213661875234,1,0.6592,ns,Kruskal-Wallis,ns
